37	83	24	19	37	41
59	77	43	43	118	38
6	65	40	22	6	130
63	77	76	8	63	51
74	47	97	26	222	23
48	24	17	7	24	36
27	39	77	35	27	13
35	41	6	21	52	41
46	32	95	3	23	32
34	43	72	42	17	43
2	57	76	39	4	57
61	90	53	26	61	135
89	95	54	7	89	95
9	64	76	12	9	21
38	60	40	25	12	180
89	49	74	2	44	49
7	87	92	45	4	261
15	34	76	21	10	51
3	54	48	25	3	27
55	87	22	23	55	261
10	72	80	47	6	108
59	24	45	50	59	24
1	12	39	14	3	12
37	8	44	4	37	8
14	7	80	25	14	10
33	7	47	41	22	21
32	67	83	33	16	134
7	42	92	2	10	28
41	31	35	50	41	31
77	43	41	38	77	86
20	16	63	40	13	48
61	57	19	31	30	85
84	79	94	25	252	158
83	56	41	26	41	28
96	85	46	7	64	85
30	14	35	15	20	21
29	21	74	35	29	14
50	54	55	42	50	54
74	80	21	27	24	53
13	98	40	37	8	294
38	30	50	42	57	30
87	84	31	12	43	84
71	76	73	29	35	228
9	12	17	44	4	24
77	81	73	47	77	27
48	33	39	27	144	16
41	79	45	50	41	52
18	89	93	5	18	59
75	37	21	49	112	37
98	81	51	21	98	81
51	22	57	6	51	66
93	9	20	40	93	6
98	41	83	19	98	41
34	1	72	32	102	1
9	58	43	49	3	58
23	36	58	21	34	108
53	5	40	30	53	2
95	62	66	49	285	62
23	91	62	14	11	91
37	27	38	8	37	13
75	39	51	13	50	19
23	69	80	17	7	69
21	92	59	38	21	276
37	45	93	18	55	90
96	82	11	9	32	82
61	29	49	19	183	29
9	6	3	42	9	9
65	60	45	50	32	60
94	82	93	48	62	123
85	72	38	43	56	144
12	18	89	10	36	18
41	2	42	6	123	1
75	48	21	16	37	16
35	98	71	49	35	196
60	73	98	25	60	146
19	58	98	27	9	58
38	43	92	32	38	21
92	42	100	16	30	14
31	58	34	10	10	116
9	64	7	2	6	64
36	3	93	30	54	3
49	74	77	37	73	49
46	29	39	35	23	14
5	1	51	34	1	1
41	9	53	21	41	6
11	69	60	19	5	34
84	17	1	24	28	11
40	8	88	5	120	2
85	76	65	19	85	25
92	73	91	9	92	219
29	94	68	12	29	94
59	97	89	19	19	48
61	21	72	32	61	14
97	55	69	9	64	82
54	4	54	1	18	4
39	30	17	18	39	90
95	39	13	46	95	39
49	98	22	24	49	49
80	64	9	4	160	32
95	85	62	40	190	170
73	64	12	27	48	21
75	97	38	11	75	48
42	8	92	3	42	2
95	79	48	15	95	79
98	19	59	11	65	19
92	22	100	26	184	22
16	88	23	11	10	29
78	72	76	50	26	48
87	30	14	21	58	30
70	15	46	22	70	30
25	12	19	31	25	8
89	24	51	33	267	12
1	14	77	38	2	14
69	40	46	41	23	40
40	60	79	40	120	180
15	1	81	3	22	1
56	32	64	37	37	48
3	36	23	8	6	54
21	56	38	6	31	37
23	98	46	42	34	196
26	54	18	30	13	81
77	41	25	36	38	13
50	81	40	18	150	54
53	87	63	8	53	130
54	59	95	34	162	88
39	98	76	20	117	98
40	31	97	16	40	31
100	33	56	32	100	33
42	30	13	18	63	10
17	46	49	6	34	30
3	14	56	22	2	14
41	80	65	10	41	80
20	89	78	31	10	267
7	79	62	8	14	158
52	78	83	15	52	78
27	46	30	4	81	138
76	10	75	31	114	15
15	71	57	14	15	35
46	48	52	6	46	48
79	98	97	11	26	65
55	2	6	20	82	1
54	21	10	47	18	7
94	44	7	49	31	22
90	1	35	13	180	0
28	1	98	40	9	1
72	21	55	50	72	63
90	34	81	8	30	11
13	98	31	40	26	32
13	38	68	41	4	76
36	68	39	28	18	136
34	69	84	28	34	138
4	65	33	36	12	65
83	100	87	17	55	66
63	90	71	49	21	90
12	96	89	31	24	48
52	18	44	8	34	9
45	93	16	1	135	46
69	78	90	4	69	52
3	77	61	46	9	51
66	51	45	11	33	17
66	65	58	28	99	97
93	17	41	6	62	51
11	98	18	45	3	49
74	97	74	21	74	32
94	6	19	24	282	3
82	52	17	39	82	78
48	80	24	19	24	80
85	68	61	35	85	22
19	70	53	46	9	46
40	45	2	7	40	135
7	75	9	31	7	225
8	17	9	1	5	17
85	54	99	19	170	54
83	47	24	23	83	47
66	7	69	35	22	7
44	68	99	37	29	34
79	67	22	47	79	201
42	93	11	48	21	31
11	37	62	21	11	37
15	45	27	18	30	90
47	89	67	45	47	89
64	35	45	18	192	105
46	59	93	44	46	177
15	80	35	34	15	240
70	44	73	28	210	44
34	86	8	18	22	86
10	31	10	23	10	62
23	42	11	7	69	42
91	16	18	40	91	8
37	48	59	4	18	32
83	36	36	14	249	24
47	44	26	46	31	44
85	14	51	9	255	28
92	49	97	14	92	16
37	96	20	19	74	144
46	69	15	21	46	46
22	25	22	21	22	12
74	87	7	6	24	87
98	40	62	34	98	40
94	1	29	46	141	1
85	44	90	32	85	22
90	73	60	15	90	219
33	4	69	47	33	2
55	63	25	9	110	126
90	17	11	48	45	25
44	52	16	26	44	26
88	23	26	4	264	23
32	71	81	1	64	47
34	95	27	43	51	95
