116	6	54	23	62
66	7	150	62	137
101	114	74	134	141
118	39	85	67	139
133	25	87	10	54
87	79	107	35	57
123	77	130	38	21
40	101	123	78	69
91	79	46	30	144
71	62	6	93	121
128	66	2	106	82
77	59	40	50	100
86	134	124	119	8
76	73	38	114	100
27	126	133	117	72
60	20	73	31	75
47	139	21	72	16
34	134	38	105	115
70	127	114	18	49
68	21	100	13	49
141	49	130	142	139
140	142	130	51	53
145	42	26	89	26
67	27	7	95	40
117	116	119	101	69
25	20	105	61	138
95	25	41	131	141
93	119	86	90	42
150	75	2	60	60
128	106	97	36	76
78	56	41	34	43
102	35	80	129	143
101	122	20	124	3
87	137	64	21	36
107	74	75	87	93
98	134	41	40	77
7	107	33	10	85
60	53	107	36	26
142	18	11	147	102
142	91	14	78	60
49	29	83	69	59
143	103	61	72	11
115	135	16	123	127
101	139	96	95	33
53	112	140	33	86
113	86	107	73	48
96	113	134	76	66
87	15	89	84	40
89	79	122	149	50
94	44	107	50	74
7	3	100	49	139
37	103	102	116	44
73	93	121	127	3
125	85	63	19	107
33	33	70	129	122
5	150	136	43	47
95	109	91	63	146
144	40	130	91	138
21	66	21	150	5
117	77	141	64	104
74	100	137	55	133
5	14	32	75	135
28	53	103	52	45
18	24	20	77	42
18	32	86	56	47
83	48	114	29	97
33	57	18	85	38
41	24	14	38	127
137	13	17	76	61
64	38	57	42	89
137	24	46	80	147
80	48	96	50	51
9	121	81	128	81
62	100	90	102	59
8	55	28	39	50
102	23	25	27	137
113	144	58	53	42
110	150	144	5	148
147	68	25	140	45
116	70	60	62	82
105	131	140	67	109
125	70	141	90	74
136	81	71	57	67
114	100	82	56	35
23	20	86	117	6
35	29	106	3	68
58	80	109	117	88
132	131	97	110	58
124	6	129	115	106
105	42	113	148	122
45	37	132	29	137
60	118	115	33	143
68	136	105	44	76
39	145	148	110	51
47	114	52	6	86
126	8	110	124	57
100	30	117	50	119
4	108	101	77	14
130	126	93	56	58
133	51	112	30	59
36	72	149	34	43
99	127	53	72	27
82	77	65	36	18
24	1	66	120	134
72	68	97	131	53
131	12	113	2	54
18	35	82	130	22
45	114	50	101	135
45	36	48	136	71
65	33	87	13	141
30	104	104	28	85
9	141	45	13	128
3	15	34	31	146
95	7	112	33	75
106	82	118	4	44
119	81	32	34	45
111	78	32	148	110
116	27	150	10	136
5	17	46	137	121
100	29	124	113	48
91	29	46	16	101
59	120	101	126	4
97	102	99	119	61
102	34	81	59	101
130	44	82	133	43
123	108	114	114	39
125	47	123	114	127
70	111	129	142	27
120	32	112	128	131
38	99	117	145	48
10	124	83	7	42
20	63	121	77	56
85	11	86	32	55
148	112	57	31	78
11	11	128	129	142
143	85	20	33	70
17	32	19	141	138
80	131	69	90	75
146	54	5	125	59
62	122	73	17	50
93	122	125	119	26
19	144	100	46	150
20	112	147	26	26
47	16	66	93	7
43	47	32	129	5
107	136	142	143	87
64	79	58	57	115
5	95	54	2	26
86	21	59	75	120
60	2	108	109	112
117	136	96	12	52
64	82	19	96	146
79	126	33	35	133
146	40	102	19	33
42	95	6	118	109
55	136	3	69	110
120	74	88	2	68
102	91	93	7	102
32	110	112	146	82
128	24	138	42	53
84	91	66	18	127
126	66	112	8	77
44	57	32	96	144
95	28	68	81	98
69	147	86	43	70
16	8	65	61	125
53	149	1	69	62
114	96	129	44	140
22	119	10	38	121
3	13	112	61	96
20	59	25	10	91
21	86	47	43	47
66	63	56	38	132
37	131	119	57	35
89	114	74	47	131
25	98	96	149	110
33	27	76	107	1
18	46	58	25	129
142	12	46	3	83
47	106	141	144	35
118	104	57	148	38
131	117	90	22	68
65	103	89	110	140
22	32	92	33	27
100	4	33	85	143
131	5	14	52	136
11	137	100	71	30
15	38	34	42	23
39	7	57	58	110
112	125	90	13	38
1	21	98	20	104
83	33	129	68	109
6	127	103	111	140
80	60	26	144	9
90	66	90	15	121
46	15	55	95	109
31	87	122	80	12
4	43	31	133	43
106	1	96	48	121
32	43	38	99	59
135	64	132	7	129
141	135	34	135	38
93	143	36	24	24
126	51	74	109	14
17	96	47	83	13
72	10	76	80	123
59	142	106	16	17
11	82	73	118	144
96	27	61	134	77
42	137	56	144	22
41	42	16	18	99
17	96	68	17	57
40	4	63	129	46
39	113	137	78	128
134	90	116	115	10
133	85	42	115	72
8	7	18	114	5
26	76	147	119	52
113	141	97	125	135
64	6	57	131	91
73	113	51	83	5
23	56	96	101	115
43	81	90	72	90
1	3	129	47	35
146	48	92	24	56
76	96	79	146	53
42	30	91	118	122
76	95	88	54	114
61	20	63	134	8
72	31	24	94	7
147	107	20	10	17
47	15	132	97	99
36	36	5	44	145
80	130	90	79	95
23	64	35	13	149
98	102	47	35	2
115	94	120	122	61
145	123	136	90	55
45	65	50	53	130
8	84	109	96	80
85	28	54	17	10
90	144	48	62	74
150	34	20	40	18
80	35	114	127	13
87	103	87	22	2
117	105	135	123	76
144	60	139	38	102
98	8	53	104	51
4	20	107	138	22
1	18	52	90	80
130	132	81	45	21
61	97	80	12	144
17	62	118	82	6
84	93	85	58	42
102	103	72	61	4
61	91	53	53	139
43	38	72	58	45
40	65	85	17	44
54	107	21	106	21
78	108	103	27	134
110	135	74	46	149
133	99	25	111	134
72	52	51	66	42
11	33	4	126	119
119	29	105	130	83
19	39	44	41	94
46	63	1	12	77
81	59	11	87	69
74	65	116	48	147
22	146	9	34	44
119	71	36	87	148
140	69	13	3	130
54	88	114	45	90
26	55	95	64	149
139	131	56	125	35
15	35	41	15	69
28	124	125	115	85
76	26	12	113	54
84	22	40	48	70
126	106	22	32	83
128	91	55	137	30
27	16	38	10	75
55	15	17	54	40
106	144	1	134	149
21	38	121	81	29
15	74	136	108	43
104	76	83	100	10
14	23	119	149	48
8	2	43	133	92
18	86	105	3	5
95	33	91	145	64
4	30	25	93	43
77	136	127	84	55
91	37	83	129	17
79	89	33	117	148
11	138	88	56	60
4	147	28	111	61
8	129	39	124	78
27	29	31	69	22
137	11	85	45	19
119	107	74	135	48
24	11	136	20	146
85	116	98	17	135
6	65	124	32	21
61	66	99	42	146
41	81	93	115	142
120	116	42	31	116
139	33	135	137	141
27	101	78	124	33
49	131	42	86	100
87	103	73	109	107
70	27	35	77	67
65	26	127	134	7
87	86	73	94	72
70	146	71	105	68
27	27	127	78	9
118	116	142	138	102
35	107	6	34	49
146	147	107	84	143
44	46	50	149	106
96	93	98	129	55
145	79	114	1	108
138	140	60	120	20
95	122	105	32	107
8	109	35	54	69
150	15	107	54	46
114	69	3	85	127
92	142	54	67	138
18	108	108	61	107
99	17	147	39	64
15	81	49	35	22
106	136	13	43	65
147	15	3	86	75
85	108	88	77	14
94	111	133	96	22
57	81	79	150	65
85	144	17	125	73
15	118	127	54	145
